Relatório de palavras-chave da rede de pesquisa
1 de abril de 2026 - 30 de abril de 2026
Status da palavra-chave,Palavra-chave,Tipo de corresp.,Grupo de anúncios,Status,Motivos do status,Conversões,Código da moeda,Custo / conv.,URL final,Cliques,Impr.,CTR,CPC méd.,Custo,Taxa de conv.
Ativado,"""motel com suíte para casal Toledo""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel com preço justo Toledo],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel com frigobar""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel para casal Toledo],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel discreto Toledo],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[suítes motel toledo],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[suites motel],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel com decoração],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[pernoite em toledo],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,9,"0,00%",0,"0,00","0,00%"
Ativado,[motel com estacionamento privado],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel Dia dos Namorados Toledo""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel com decoração""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel suíte],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel com café da manhã Toledo],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel por hora],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel feriado""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel com suíte para casal Toledo],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""suites motel""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel reserva WhatsApp Toledo],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel suíte barata],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel sem necessidade de reserva Toledo""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel com decoração personalizada Toledo],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel melhor de toledo""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel para datas especiais""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel suíte mais barata""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel Dia dos Namorados Toledo],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel suites""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel com estacionamento privativo Toledo],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel pernoite Toledo],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,6,17,"35,29%","0,82","4,90","0,00%"
Ativado,"""motel toledo promoções""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel por hora""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
